PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,CONTROL_Z_SCORE_BIN,DOX_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,DOX_Z_SCORE_BIN,COMBINED_ZSCORE_BIN,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,CONTROL_AVERAGE_CTG_NORMALISED_TO_MOCK,DOX_AVERAGE_CTG_NORMALISED_TO_NT1,DOX_AVERAGE_CTG_NORMALISED_TO_MOCK,FOLD_CHANGE_RATIO,FOLD_CHANGE_RATIO_Z_SCORE,SEED_CLUSTER_MIRNA_SHARING_SEED
RESULT_TYPE,,,,,,,STRING,TARGET_NCBI_GENE_ID,STRING,INTEGER,STRING,FLOAT,STRING,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,Dharmacon GE reagent id,NCBI Entrez Gene database id of intended siRNA target gene,Official symbol of target NCBI Gene Id,Plate number,Well location,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Control robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Doxorubicin robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2",Combined (CONTROL_Z_SCORE_BIN and DOX_Z_SCORE_BIN) Z-score bins,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Control (siRNA alone) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.",DOX_AVERAGE_CTG_NORMALISED_TO_NT1 / CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,Robust Z-score calculated on the FOLD_CHANGE_RATIO,Seed cluster analysis (using Dharmacon's seed clusterer tool) results. Enrichment score cut-off (3) 8.
1131,152264806,,Inactive,,,,M-061466-00,258466,Olfr1261,15044,E03,-0.34,NC,-0.34,NC,NC both,0.93,0.98,0.91,0.92,0.98,0,
1132,152264810,,Inactive,,,,M-046765-00,76614,Immt,15040,A12,-0.51,NC,0.45,NC,NC both,0.92,0.94,0.98,1,1.07,1.01,
1133,152264811,,Active,,,,M-047222-00,20222,Sf3a2,15049,O13,0.17,NC,-3.15,LC,LC dox,0.96,0.98,0.66,0.63,0.69,-3.26,
1134,152264813,,Inactive,,,,M-064906-00,387349,Tas2r121,15004,J19,0.51,NC,-0.45,NC,NC both,0.98,1,0.9,0.86,0.92,-0.67,
1135,152264821,,Inactive,,,,M-056803-00,270004,Foxi2,15031,D22,0.51,NC,0.45,NC,NC both,0.98,1,0.98,0.96,1,0.22,
1136,152264822,,Inactive,,,,M-062216-00,23966,Tenm4,15043,O16,0.84,NC,1.8,NC,NC both,1,0.97,1.1,1.02,1.1,1.35,
1137,152264828,,Inactive,,,,M-058922-00,22317,Vamp1,15052,F20,-0.84,NC,-0.9,NC,NC both,0.9,0.9,0.86,0.8,0.96,-0.22,
1138,152264836,,Inactive,,,,M-057924-00,241113,Prkag3,15002,P03,0.84,NC,2.81,Hi,Hi dox,1,1,1.19,1.12,1.19,2.36,
1139,152264842,,Inactive,,,,M-040487-00,18626,Per1,15015,L13,-0.17,NC,-0.22,NC,NC both,0.94,0.96,0.92,0.97,0.98,0,
1140,152264847,,Inactive,,,,M-063318-00,26939,Polr3e,15047,E22,-2.7,LC,-1.8,NC,LC control,0.79,0.78,0.78,0.74,0.99,0.11,
1141,152264852,,Inactive,,,,M-063883-00,224840,Treml4,15027,K21,0.67,NC,0,NC,NC both,0.99,0.97,0.94,0.88,0.95,-0.34,
1142,152264859,,Active,,,,M-052120-00,104725,Sptssa,15021,E06,0.51,NC,-2.59,LC,LC dox,0.98,0.96,0.71,0.67,0.72,-2.92,
1143,152264861,,Inactive,,,,M-053655-00,216190,Appl2,15037,C03,0.34,NC,-0.45,NC,NC both,0.97,1,0.9,0.92,0.93,-0.56,
1144,152264873,,Inactive,,,,M-062660-00,17221,Cd46,15014,M18,-1.35,NC,0,NC,NC both,0.87,0.88,0.94,0.91,1.08,1.12,
1145,152264877,,Inactive,,,,M-060680-00,27393,Mrpl39,15042,C06,-9.95,LC,-7.98,LC,LC both,0.36,0.34,0.23,0.22,0.64,-3.82,
1146,152264879,,Inactive,,,,M-050371-00,78938,Fbxo34,15038,E12,-0.51,NC,-0.22,NC,NC both,0.92,0.92,0.92,0.92,1,0.22,
1147,152264882,,Inactive,,,,M-043567-00,15212,Hexb,15011,L20,-0.17,NC,-0.45,NC,NC both,0.94,0.98,0.9,0.9,0.96,-0.22,
1148,152264887,,Inactive,,,,M-061707-00,57749,Piwil1,15015,J20,0.84,NC,0.34,NC,NC both,1,1.01,0.97,1.02,0.97,-0.11,
1149,152264888,,Inactive,,,,M-053489-00,226971,Plekhb2,15047,G21,-0.17,NC,0,NC,NC both,0.94,0.93,0.94,0.88,1,0.22,
1150,152264889,,Inactive,,,,M-055315-00,399549,H2-M10.6,15039,B21,0.17,NC,0.79,NC,NC both,0.96,0.98,1.01,1,1.05,0.79,
1151,152264896,,Inactive,,,,M-056240-00,76132,Faxc,15027,F04,0.51,NC,0.22,NC,NC both,0.98,0.97,0.96,0.9,0.98,0,
1152,152264901,,Inactive,,,,M-065432-00,13640,Efna5,15010,H13,0.17,NC,-1.12,NC,NC both,0.96,0.96,0.84,0.86,0.88,-1.12,
1153,152264927,,Inactive,,,,M-049298-00,16319,Incenp,15040,A18,-2.02,LC,-0.56,NC,LC control,0.83,0.85,0.89,0.9,1.07,1.01,
1154,152264929,,Inactive,,,,M-065242-00,403200,4930504O13Rik,15026,E18,-1.52,NC,-1.12,NC,NC both,0.86,0.84,0.84,0.84,0.98,0,
1155,152264943,,Inactive,,,,M-052034-00,216274,Cep290,15032,C04,0.51,NC,0,NC,NC both,0.98,1,0.94,0.91,0.96,-0.22,
1156,152264962,,Inactive,,,,M-052880-00,319413,D830016O14Rik,15036,B07,1.69,NC,0.45,NC,NC both,1.05,1.08,0.98,0.93,0.93,-0.56,
1157,152264965,,Inactive,,,,M-065490-00,77117,Zfp934,15028,G09,-0.84,NC,-0.22,NC,NC both,0.9,0.89,0.92,0.85,1.02,0.45,
1158,152264967,,Inactive,,,,M-048236-00,75725,Phf14,15026,P21,3.04,Hi,1.46,NC,Hi control,1.13,1.1,1.07,1.05,0.95,-0.34,
