PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,REAGENT_ID,ENTREZ_GENE_ID,NCBI_GENE_SYMBOL,PLATE,WELL,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,CONTROL_Z_SCORE_BIN,DOX_AVERAGE_CTG_NORMALISED_TO_NT1_ROBUST_Z_SCORED,DOX_Z_SCORE_BIN,COMBINED_ZSCORE_BIN,CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,CONTROL_AVERAGE_CTG_NORMALISED_TO_MOCK,DOX_AVERAGE_CTG_NORMALISED_TO_NT1,DOX_AVERAGE_CTG_NORMALISED_TO_MOCK,FOLD_CHANGE_RATIO,FOLD_CHANGE_RATIO_Z_SCORE,SEED_CLUSTER_MIRNA_SHARING_SEED
RESULT_TYPE,,,,,,,STRING,TARGET_NCBI_GENE_ID,STRING,INTEGER,STRING,FLOAT,STRING,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,Dharmacon GE reagent id,NCBI Entrez Gene database id of intended siRNA target gene,Official symbol of target NCBI Gene Id,Plate number,Well location,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Control robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates. Average normalised control CTG values used to calculate robust Z-score.","Doxorubicin robust Z-score binning classification: LC (low cell count): value (2) -2, Hi (high cell count): value (3) 2, and NC (no change): 2 (3) value (3) -2",Combined (CONTROL_Z_SCORE_BIN and DOX_Z_SCORE_BIN) Z-score bins,"Control (siRNA alone) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Control (siRNA alone) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to NT1, then averaged the normalised values across the 2 replicates.","Doxorubicin treated (siRNA + Doxorubicin) CTG data for each replicate normalised to mock, then averaged the normalised values across the 2 replicates.",DOX_AVERAGE_CTG_NORMALISED_TO_NT1 / CONTROL_AVERAGE_CTG_NORMALISED_TO_NT1,Robust Z-score calculated on the FOLD_CHANGE_RATIO,Seed cluster analysis (using Dharmacon's seed clusterer tool) results. Enrichment score cut-off (3) 8.
1,134330018,,Inactive,,,,M-040894-00,58988,Rps6kb2,15002,L22,-1.18,NC,1.57,NC,NC both,0.88,0.88,1.08,1.03,1.23,2.81,
2,152259054,,Inactive,,,,M-065636-01,66573,Dzip1,15037,I22,1.85,NC,0.9,NC,NC both,1.06,1.1,1.02,1.04,0.96,-0.22,
3,152259059,,Inactive,,,,M-051735-00,385643,Kng2,15013,D17,0,NC,-0.45,NC,NC both,0.95,0.95,0.9,0.93,0.95,-0.34,
4,152259066,,Inactive,,,,M-046044-00,14919,Gucy2e,15001,P04,1.52,NC,1.12,NC,NC both,1.04,1.08,1.04,1.04,1,0.22,
5,152259077,,Inactive,,,,M-060616-00,258799,Olfr906,15045,P20,1.85,NC,2.36,Hi,Hi dox,1.06,1.08,1.15,1.12,1.08,1.12,
6,152259080,,Inactive,,,,M-054852-00,225115,Svil,15018,P11,-0.67,NC,0.67,NC,NC both,0.91,0.94,1,1.04,1.1,1.35,
7,152259082,,Inactive,,,,M-059681-00,73825,Ppp1r21,15021,B05,1.52,NC,1.69,NC,NC both,1.04,1.02,1.09,1.02,1.05,0.79,
8,152259088,,Inactive,,,,M-049259-00,94065,Mrpl34,15042,A16,-0.84,NC,0.67,NC,NC both,0.9,0.86,1,0.98,1.11,1.46,
9,152259091,,Inactive,,,,M-041625-00,66152,Uqcr10,15021,D09,-2.19,LC,0.34,NC,LC control,0.82,0.8,0.97,0.91,1.18,2.25,
10,152259096,,Inactive,,,,M-061625-00,258408,Olfr463,15045,E21,-1.85,NC,-0.9,NC,NC both,0.84,0.85,0.86,0.85,1.02,0.45,
11,152259104,,Inactive,,,,M-041225-00,319710,Frmd6,15026,C22,0.17,NC,0.34,NC,NC both,0.96,0.94,0.97,0.95,1.01,0.34,
12,152259115,,Inactive,,,,M-047251-00,67976,Trabd,15027,B13,0.84,NC,0.11,NC,NC both,1,0.98,0.95,0.88,0.95,-0.34,
13,152259116,,Inactive,,,,M-061779-00,68119,Cmtm3,15034,B16,-1.52,NC,-1.35,NC,NC both,0.86,0.86,0.82,0.79,0.95,-0.34,
14,152259117,,Inactive,,,,M-064232-00,258748,Olfr1195,15043,J18,-0.51,NC,-1.8,NC,NC both,0.92,0.9,0.78,0.72,0.85,-1.46,
15,152259123,,Inactive,,,,M-054645-00,78070,Cpt1c,15035,O13,-0.51,NC,-0.34,NC,NC both,0.92,0.92,0.91,0.88,0.99,0.11,
16,152259128,,Inactive,,,,M-040996-00,70335,Reep6,15037,A04,0.34,NC,0.56,NC,NC both,0.97,1,0.99,1.01,1.02,0.45,
17,152259133,,Inactive,,,,M-043886-00,26425,Nubp1,15015,G03,0,NC,0.34,NC,NC both,0.95,0.97,0.97,1.01,1.02,0.45,
18,152259138,,Inactive,,,,M-043416-00,14397,Gabra4,15011,K15,-0.17,NC,0,NC,NC both,0.94,0.99,0.94,0.93,1,0.22,
19,152259139,,Inactive,,,,M-057908-00,230991,B930041F14Rik,15032,G05,-1.18,NC,-0.45,NC,NC both,0.88,0.9,0.9,0.88,1.02,0.45,
20,152259142,,Inactive,,,,M-063108-00,53324,Nptx2,15043,M03,-0.17,NC,-0.34,NC,NC both,0.94,0.91,0.91,0.84,0.97,-0.11,
21,152259145,,Inactive,,,,M-062446-00,11571,Crisp1,15035,C16,0,NC,0.9,NC,NC both,0.95,0.96,1.02,0.98,1.07,1.01,
22,152259150,,Inactive,,,,M-062235-00,17287,Mep1a,15013,B16,-0.51,NC,-1.01,NC,NC both,0.92,0.92,0.85,0.88,0.92,-0.67,
23,152259156,,Inactive,,,,M-065314-00,99480,Dnttip2,15026,J05,-0.17,NC,0,NC,NC both,0.94,0.92,0.94,0.93,1,0.22,
24,152259159,,Inactive,,,,M-058148-00,98970,Fibcd1,15030,B17,-0.17,NC,-0.79,NC,NC both,0.94,0.92,0.87,0.86,0.93,-0.56,
25,152259165,,Inactive,,,,M-040969-00,18797,Plcb3,15015,P18,1.18,NC,0.9,NC,NC both,1.02,1.04,1.02,1.07,1,0.22,
26,152259175,,Inactive,,,,M-042379-00,71690,Esm1,15010,K13,-0.84,NC,-1.24,NC,NC both,0.9,0.89,0.83,0.84,0.92,-0.67,
27,152259181,,Inactive,,,,M-044909-00,20422,Shfm1,15018,I13,-3.04,LC,-2.7,LC,LC both,0.77,0.8,0.7,0.72,0.91,-0.79,
28,152259193,,Inactive,,,,M-046375-00,21453,Tcof1,15019,C07,-1.69,NC,-1.57,NC,NC both,0.85,0.88,0.8,0.81,0.94,-0.45,
29,152259198,,Inactive,,,,M-045532-00,71323,Rassf8,15027,M21,0.84,NC,0,NC,NC both,1,0.98,0.94,0.87,0.94,-0.45,
30,152259199,,Inactive,,,,M-045823-00,212032,Hk3,15002,A05,-1.01,NC,-0.67,NC,NC both,0.89,0.88,0.88,0.82,0.99,0.11,
31,152259212,,Inactive,,,,M-059524-00,67252,Cap2,15034,C06,-1.18,NC,-1.46,NC,NC both,0.88,0.88,0.81,0.8,0.92,-0.67,
32,152259229,,Inactive,,,,M-051479-00,242894,Actr3b,15006,N13,0.51,NC,-0.22,NC,NC both,0.98,0.97,0.92,0.86,0.94,-0.45,
33,152259235,,Inactive,,,,M-056369-00,72469,Plcd3,15047,E17,1.35,NC,0.56,NC,NC both,1.03,1.01,0.99,0.92,0.96,-0.22,
34,152259249,,Inactive,,,,M-042294-00,56468,Socs5,15002,P14,-0.17,NC,2.59,Hi,Hi dox,0.94,0.93,1.17,1.1,1.24,2.92,
35,152259254,,Inactive,,,,M-042097-00,14661,Glud1,15012,G17,-0.51,NC,-0.56,NC,NC both,0.92,0.95,0.89,0.86,0.97,-0.11,
36,152259259,,Inactive,,,,M-058878-00,20724,Serpinb5,15017,N08,1.18,NC,0.56,NC,NC both,1.02,1.01,0.99,0.98,0.97,-0.11,
37,152259260,,Inactive,,,,M-058984-00,67074,Mon2,15024,L03,0.17,NC,0.9,NC,NC both,0.96,1,1.02,1.06,1.06,0.9,
38,152259266,,Inactive,,,,M-057199-00,338372,Map3k9,15002,M09,0.84,NC,1.12,NC,NC both,1,0.98,1.04,1,1.04,0.67,
39,152259267,,Inactive,,,,M-057355-00,170733,Klra17,15013,B07,1.69,NC,0.56,NC,NC both,1.05,1.05,0.99,1.02,0.94,-0.45,
40,152259270,,Inactive,,,,M-043317-00,26900,Ddx3y,15036,B22,0.34,NC,0.67,NC,NC both,0.97,1,1,0.96,1.03,0.56,
41,152259280,,Inactive,,,,M-048863-00,22068,Trpc6,15019,L06,0.17,NC,-1.35,NC,NC both,0.96,1,0.82,0.84,0.85,-1.46,
42,152259281,,Inactive,,,,M-040251-00,11737,Anp32a,15030,N04,-0.51,NC,0,NC,NC both,0.92,0.9,0.94,0.92,1.02,0.45,
43,152259282,,Inactive,,,,M-042362-00,14728,Lilrb4,15012,M15,0.17,NC,-0.67,NC,NC both,0.96,1,0.88,0.85,0.92,-0.67,
44,152259285,,Inactive,,,,M-048433-00,21673,Dntt,15009,B03,2.36,Hi,1.46,NC,Hi control,1.09,1.12,1.07,1.02,0.98,0,
45,152259287,,Inactive,,,,M-043847-00,17167,Marco,15014,G12,-1.52,NC,1.12,NC,NC both,0.86,0.87,1.04,1.01,1.21,2.59,
46,152259290,,Inactive,,,,M-062764-00,226841,Vash2,15031,D20,0.51,NC,0.34,NC,NC both,0.98,0.99,0.97,0.94,0.99,0.11,
47,152259291,,Inactive,,,,M-063525-00,67729,Mansc1,15028,K10,1.01,NC,1.35,NC,NC both,1.01,1,1.06,0.99,1.05,0.79,
48,152259294,,Inactive,,,,M-042237-00,26757,Dpysl4,15037,C18,0.84,NC,-0.9,NC,NC both,1,1.03,0.86,0.88,0.86,-1.35,
49,152259305,,Inactive,,,,M-065343-00,404338,Olfr1434,15044,K04,-0.17,NC,-0.45,NC,NC both,0.94,0.98,0.9,0.92,0.96,-0.22,
50,152259312,,Inactive,,,,M-062543-00,23806,Arih1,15006,L15,-1.52,NC,-0.56,NC,NC both,0.86,0.86,0.89,0.84,1.03,0.56,
51,152259315,,Inactive,,,,M-062844-00,26441,Psma4,15047,L03,-3.04,LC,-4.27,LC,LC both,0.77,0.76,0.56,0.52,0.73,-2.81,
52,152259316,,Inactive,,,,M-050518-00,100732,Mapre3,15014,G06,-0.17,NC,0.9,NC,NC both,0.94,0.94,1.02,0.99,1.09,1.24,
53,152259325,,Inactive,,,,M-061626-00,24057,Sh3yl1,15049,G08,-0.51,NC,-1.12,NC,NC both,0.92,0.94,0.84,0.8,0.91,-0.79,
54,152259329,,Inactive,,,,M-045825-00,53620,AF119384,15030,E10,-0.51,NC,0.67,NC,NC both,0.92,0.9,1,0.99,1.09,1.24,
55,152259334,,Inactive,,,,M-042021-00,18099,Nlk,15002,I06,0.67,NC,0.22,NC,NC both,0.99,0.99,0.96,0.9,0.97,-0.11,
56,152259335,,Inactive,,,,M-055371-00,242481,Palm2,15046,M16,0.17,NC,-0.45,NC,NC both,0.96,0.98,0.9,0.89,0.94,-0.45,
57,152259339,,Inactive,,,,M-049046-00,18830,Pltp,15016,H09,0.51,NC,-0.22,NC,NC both,0.98,1,0.92,0.9,0.94,-0.45,
58,152259342,,Inactive,,,,M-049197-00,13169,Dbnl,15009,N18,-0.34,NC,0,NC,NC both,0.93,0.96,0.94,0.9,1.01,0.34,
59,152259352,,Inactive,,,,M-048348-00,21750,Terf2,15019,E17,-1.01,NC,-0.67,NC,NC both,0.89,0.92,0.88,0.9,0.99,0.11,
60,152259354,,Inactive,,,,M-063224-00,50722,Dkkl1,15030,O12,0.17,NC,-0.34,NC,NC both,0.96,0.94,0.91,0.9,0.95,-0.34,
61,152259365,,Inactive,,,,M-052224-00,217578,Baz1a,15032,G11,0.17,NC,0.56,NC,NC both,0.96,0.98,0.99,0.96,1.03,0.56,
62,152259373,,Inactive,,,,M-062851-00,217198,Plekhh3,15007,E19,0.34,NC,0.45,NC,NC both,0.97,0.98,0.98,0.92,1.01,0.34,
63,152259376,,Inactive,,,,M-044478-00,94216,Col4a6,15008,P05,1.69,NC,1.57,NC,NC both,1.05,1.1,1.08,1.1,1.03,0.56,
64,152259379,,Inactive,,,,M-063472-00,67065,Polr3d,15016,N03,1.85,NC,1.35,NC,NC both,1.06,1.08,1.06,1.03,1,0.22,
65,152259381,,Inactive,,,,M-046817-00,16447,Ivl,15040,I12,-0.51,NC,-1.24,NC,NC both,0.92,0.94,0.83,0.84,0.9,-0.9,
66,152259399,,Inactive,,,,M-060450-00,12752,Cln3,15008,D13,-1.18,NC,-0.22,NC,NC both,0.88,0.92,0.92,0.92,1.05,0.79,
67,152259400,,Inactive,,,,M-048995-00,18606,Enpp2,15003,H07,0.84,NC,-0.56,NC,NC both,1,1.02,0.89,0.9,0.89,-1.01,
68,152259403,,Inactive,,,,M-054298-00,330485,Tmem145,15032,G17,0,NC,0,NC,NC both,0.95,0.98,0.94,0.9,0.99,0.11,
69,152259411,,Inactive,,,,M-053334-00,269604,Gpr157,15038,O19,1.52,NC,1.01,NC,NC both,1.04,1.02,1.03,1.03,0.99,0.11,
70,152259418,,Inactive,,,,M-059104-00,20657,Sod3,15018,I22,1.18,NC,1.12,NC,NC both,1.02,1.06,1.04,1.08,1.02,0.45,
71,152259429,,Inactive,,,,M-057181-00,53876,Ear3,15037,P17,1.18,NC,0.67,NC,NC both,1.02,1.04,1,1.02,0.98,0,
72,152259430,,Inactive,,,,M-046109-00,54450,Il1f5,15012,D06,-1.01,NC,-1.69,NC,NC both,0.89,0.93,0.79,0.76,0.89,-1.01,
73,152259432,,Inactive,,,,M-040722-00,14012,Mpzl2,15038,K07,0.17,NC,0.67,NC,NC both,0.96,0.95,1,0.99,1.04,0.67,
74,152259436,,Inactive,,,,M-063487-00,15967,Ifna4,15012,H09,-0.67,NC,0.22,NC,NC both,0.91,0.94,0.96,0.92,1.05,0.79,
75,152259438,,Inactive,,,,M-046200-00,68053,Ubxn2b,15025,G08,-0.17,NC,1.24,NC,NC both,0.94,0.97,1.05,1.04,1.12,1.57,
76,152259440,,Inactive,,,,M-042594-00,15445,Hpd,15012,G14,-2.02,LC,-0.22,NC,LC control,0.83,0.87,0.92,0.88,1.11,1.46,
77,152259441,,Inactive,,,,M-045309-00,231044,Gbx1,15038,F18,0,NC,0.22,NC,NC both,0.95,0.94,0.96,0.96,1.01,0.34,
78,152259442,,Inactive,,,,M-059174-00,26373,Clcn7,15008,O10,0.84,NC,-1.12,NC,NC both,1,1.05,0.84,0.86,0.84,-1.57,
79,152259445,,Inactive,,,,M-040426-00,18584,Pde8a,15015,H11,-0.67,NC,-0.22,NC,NC both,0.91,0.92,0.92,0.96,1.01,0.34,
80,152259446,,Inactive,,,,M-042931-00,20115,Rps7,15048,N07,-5.9,LC,-7.31,LC,LC both,0.6,0.6,0.29,0.27,0.48,-5.62,
81,152259451,,Inactive,,,,M-063891-00,30943,Prss30,15051,B22,0.51,NC,1.57,NC,NC both,0.98,0.97,1.08,1.02,1.1,1.35,
82,152259452,,Inactive,,,,M-052917-00,225865,Catsper1,15007,B22,1.01,NC,0.9,NC,NC both,1.01,1.02,1.02,0.97,1.01,0.34,
83,152259454,,Inactive,,,,M-045042-00,66220,Zdhhc12,15053,A08,0.34,NC,1.46,NC,NC both,0.97,0.98,1.07,1.04,1.1,1.35,
84,152259460,,Inactive,,,,M-052809-00,27660,1700088E04Rik,15022,B18,-0.51,NC,-1.24,NC,NC both,0.92,0.88,0.83,0.78,0.9,-0.9,
85,152259470,,Active,,,,M-051160-00,195733,Grhl1,15051,C04,-0.84,NC,-2.36,LC,LC dox,0.9,0.88,0.73,0.68,0.81,-1.91,
86,152259474,,Inactive,,,,M-062098-00,404195,Cyp2c54,15009,O11,-0.34,NC,1.12,NC,NC both,0.93,0.96,1.04,0.99,1.12,1.57,
87,152259475,,Inactive,,,,M-052356-00,242022,Frem2,15027,B08,0.51,NC,1.69,NC,NC both,0.98,0.96,1.09,1.02,1.11,1.46,
88,152259477,,Inactive,,,,M-058201-00,19116,AI987712,15030,P11,0.51,NC,1.01,NC,NC both,0.98,0.96,1.03,1.02,1.05,0.79,
89,152259487,,Active,,,,M-049519-00,75083,Usp50,15026,I06,0.67,NC,-2.02,LC,LC dox,0.99,0.97,0.76,0.76,0.77,-2.36,
90,152259498,,Inactive,,,,M-054199-00,240063,Zfp811,15041,J20,0.17,NC,-0.22,NC,NC both,0.96,0.96,0.92,0.87,0.96,-0.22,
91,152259499,,Inactive,,,,M-056209-00,67045,Riok2,15017,O13,0.84,NC,-0.22,NC,NC both,1,1,0.92,0.91,0.92,-0.67,
92,152259504,,Inactive,,,,M-060362-00,259159,OLFR628,15004,I14,0.51,NC,0.34,NC,NC both,0.98,1,0.97,0.94,0.99,0.11,
93,152259505,,Inactive,,,,M-041075-00,16563,Kif2a,15013,I16,1.18,NC,-0.9,NC,NC both,1.02,1.02,0.86,0.88,0.84,-1.57,
94,152259506,,Inactive,,,,M-062620-00,70470,Rprd1b,15024,D11,1.35,NC,2.25,Hi,Hi dox,1.03,1.07,1.14,1.19,1.11,1.46,
95,152259512,,Inactive,,,,M-051864-00,280662,Afm,15030,G08,0.51,NC,0.67,NC,NC both,0.98,0.96,1,0.99,1.02,0.45,
96,152259524,,Inactive,,,,M-063791-00,79566,Sh3bp5l,15032,O03,0.34,NC,0.11,NC,NC both,0.97,0.99,0.95,0.92,0.98,0,
97,152259531,,Inactive,,,,M-048815-00,14841,Gsg2,15001,N16,-0.51,NC,-0.67,NC,NC both,0.92,0.96,0.88,0.88,0.96,-0.22,
98,152259532,,Inactive,,,,M-065231-00,108097,Prkab2,15047,O20,2.53,Hi,2.02,Hi,Hi both,1.1,1.08,1.12,1.04,1.02,0.45,
99,152259536,,Active,,,,M-046409-00,11745,Anxa3,15006,I06,0.17,NC,-2.25,LC,LC dox,0.96,0.96,0.74,0.69,0.77,-2.36,
100,152259541,,Active,,,,M-056275-00,77744,Bora,15028,G17,-1.85,NC,-2.02,LC,LC dox,0.84,0.83,0.76,0.71,0.9,-0.9,
101,152259543,,Inactive,,,,M-051388-00,20491,Sla,15018,O13,-0.51,NC,0,NC,NC both,0.92,0.94,0.94,0.99,1.02,0.45,
102,152259548,,Inactive,,,,M-060325-00,14958,H1f0,15011,P09,1.85,NC,0.45,NC,NC both,1.06,1.11,0.98,0.98,0.92,-0.67,
103,152259551,,Inactive,,,,M-063708-00,74048,4632428N05Rik,15025,L07,-0.84,NC,0,NC,NC both,0.9,0.92,0.94,0.92,1.04,0.67,
104,152259561,,Inactive,,,,M-055796-00,20229,Sat1,15017,N09,1.18,NC,-0.11,NC,NC both,1.02,1.01,0.93,0.92,0.91,-0.79,
105,152259583,,Inactive,,,,M-061300-00,76971,2810007J24Rik,15024,H10,-0.17,NC,0.45,NC,NC both,0.94,0.98,0.98,1.02,1.04,0.67,
106,152259589,,Inactive,,,,M-052079-00,229600,BC028528,15040,J14,0.17,NC,-1.46,NC,NC both,0.96,0.98,0.81,0.82,0.84,-1.57,
107,152259592,,Inactive,,,,M-062308-00,83921,Tmem2,15051,P03,2.53,Hi,1.91,NC,Hi control,1.1,1.09,1.11,1.04,1.01,0.34,
108,152259598,,Inactive,,,,M-061247-00,258565,Olfr1009,15043,D07,-1.85,NC,-1.24,NC,NC both,0.84,0.82,0.83,0.77,0.99,0.11,
109,152259601,,Inactive,,,,M-054787-00,106821,Oard1,15030,M06,0,NC,-0.11,NC,NC both,0.95,0.94,0.93,0.92,0.98,0,
110,152259603,,Inactive,,,,M-061304-00,258544,Olfr788,15045,B12,-1.18,NC,-1.35,NC,NC both,0.88,0.88,0.82,0.81,0.93,-0.56,
111,152259606,,Inactive,,,,M-055758-00,56453,Mbtps1,15014,K06,-0.34,NC,0.11,NC,NC both,0.93,0.93,0.95,0.92,1.02,0.45,
112,152259615,,Inactive,,,,M-045045-00,13639,Efna4,15010,H11,-0.17,NC,-1.35,NC,NC both,0.94,0.94,0.82,0.82,0.87,-1.24,
113,152259617,,Inactive,,,,M-047930-00,18164,Nptx1,15014,L22,0,NC,0.67,NC,NC both,0.95,0.95,1,0.97,1.05,0.79,
114,152259619,,Inactive,,,,M-064422-00,268780,Egflam,15031,D21,0.51,NC,0.67,NC,NC both,0.98,1,1,0.97,1.02,0.45,
115,152259634,,Inactive,,,,M-043167-00,12859,Cox5b,15035,I11,1.85,NC,0.9,NC,NC both,1.06,1.07,1.02,0.99,0.96,-0.22,
116,152259643,,Inactive,,,,M-042275-00,54343,Atf7ip,15006,F04,0,NC,-0.45,NC,NC both,0.95,0.94,0.9,0.84,0.95,-0.34,
117,152259648,,Inactive,,,,M-050548-00,268515,Bahcc1,15033,M21,-6.91,LC,0.22,NC,LC control,0.54,0.55,0.96,0.93,1.78,8.99,
118,152259653,,Inactive,,,,M-049476-00,67694,Ift74,15034,K12,-0.84,NC,-0.9,NC,NC both,0.9,0.9,0.86,0.84,0.96,-0.22,
119,152259654,,Inactive,,,,M-062106-00,12388,Ctnnd1,15007,B20,0.51,NC,1.57,NC,NC both,0.98,1,1.08,1.02,1.1,1.35,
120,152259665,,Inactive,,,,M-053699-00,192194,Btnl10,15033,O12,-0.17,NC,0.79,NC,NC both,0.94,0.96,1.01,0.98,1.07,1.01,
121,152259666,,Inactive,,,,M-044988-00,14800,Gria2,15011,D09,-1.18,NC,0,NC,NC both,0.88,0.94,0.94,0.93,1.07,1.01,
122,152259672,,Inactive,,,,M-040310-00,2668,DLC1,15037,C21,1.35,NC,0,NC,NC both,1.03,1.06,0.94,0.95,0.91,-0.79,
123,152259674,,Inactive,,,,M-041898-00,56210,Rev1,15017,I05,0.17,NC,-0.9,NC,NC both,0.96,0.94,0.86,0.84,0.9,-0.9,
124,152259679,,Inactive,,,,M-041850-00,106369,Ypel1,15053,K09,1.52,NC,0.11,NC,NC both,1.04,1.04,0.95,0.92,0.91,-0.79,
125,152259683,,Inactive,,,,M-044563-00,12868,Cox8a,15035,K11,-0.34,NC,0.11,NC,NC both,0.93,0.94,0.95,0.92,1.02,0.45,
126,152259688,,Inactive,,,,M-040928-00,14672,Gna11,15012,K03,-0.67,NC,0.45,NC,NC both,0.91,0.95,0.98,0.93,1.08,1.12,
127,152259695,,Inactive,,,,M-049816-00,56473,Fads2,15038,A22,0.17,NC,0.56,NC,NC both,0.96,0.96,0.99,0.99,1.03,0.56,
128,152259698,,Inactive,,,,M-041193-00,100043194,STH2,15018,J21,0.84,NC,0.67,NC,NC both,1,1.02,1,1.04,1,0.22,
129,152259704,,Inactive,,,,M-042848-00,74349,Fam160a2,15025,J17,1.35,NC,0.56,NC,NC both,1.03,1.06,0.99,0.98,0.96,-0.22,
130,152259706,,Inactive,,,,M-047800-00,76509,1600029D21Rik,15022,A09,0.84,NC,1.46,NC,NC both,1,0.97,1.07,1,1.07,1.01,
131,152259708,,Inactive,,,,M-065363-00,24075,Taf10,15018,B20,-0.84,NC,-1.12,NC,NC both,0.9,0.94,0.84,0.86,0.93,-0.56,
132,152259710,,Inactive,,,,M-045867-00,20102,Rps4x,15017,D05,-4.38,LC,-4.27,LC,LC both,0.69,0.68,0.56,0.55,0.81,-1.91,
133,152259714,,Inactive,,,,M-059850-00,142980,Tlr3,15003,I11,2.02,Hi,-2.25,LC,Hi control LC dox,1.07,1.08,0.74,0.74,0.69,-3.26,
134,152259731,,Inactive,,,,M-052476-00,271047,Serpina3b,15028,P22,2.87,Hi,4.05,Hi,Hi both,1.12,1.09,1.3,1.21,1.16,2.02,
135,152259732,,Inactive,,,,M-065516-00,58227,Fam184b,15029,P14,0.84,NC,0.45,NC,NC both,1,1,0.98,0.99,0.98,0,
136,152259737,,Inactive,,,,M-040029-00,329659,E130311K13Rik,15037,F03,0.84,NC,1.57,NC,NC both,1,1.04,1.08,1.1,1.08,1.12,
137,152259757,,Inactive,,,,M-040169-00,26381,Esrrg,15010,M03,-0.84,NC,-1.91,NC,NC both,0.9,0.89,0.77,0.78,0.86,-1.35,
138,152259758,,Inactive,,,,M-053767-00,228607,Mavs,15036,A12,0,NC,0.22,NC,NC both,0.95,0.97,0.96,0.92,1.01,0.34,
139,152259764,,Inactive,,,,M-046626-00,51797,Ctps,15009,C19,0.17,NC,1.01,NC,NC both,0.96,1,1.03,0.99,1.07,1.01,
140,152259774,,Inactive,,,,M-063552-00,11419,Asic1,15030,I13,-0.51,NC,-0.22,NC,NC both,0.92,0.91,0.92,0.9,1,0.22,
141,152259791,,Inactive,,,,M-048834-00,20269,Scn3a,15048,J22,1.18,NC,-0.79,NC,NC both,1.02,1.04,0.87,0.8,0.85,-1.46,
142,152259806,,Inactive,,,,M-056271-00,70605,Zdhhc24,15041,A05,-1.01,NC,-0.22,NC,NC both,0.89,0.89,0.92,0.87,1.03,0.56,
143,152259808,,Inactive,,,,M-059574-00,67819,Derl1,15021,D15,0.34,NC,-0.22,NC,NC both,0.97,0.96,0.92,0.88,0.95,-0.34,
144,152259809,,Inactive,,,,M-063489-00,21917,Tmpo,15051,B12,-0.51,NC,0,NC,NC both,0.92,0.9,0.94,0.88,1.02,0.45,
145,152259812,,Inactive,,,,M-053504-00,230735,Epha10,15001,G07,0.17,NC,-0.45,NC,NC both,0.96,1.01,0.9,0.9,0.94,-0.45,
146,152259820,,Inactive,,,,M-040344-00,26385,Grk6,15039,O15,1.18,NC,1.57,NC,NC both,1.02,1.04,1.08,1.06,1.06,0.9,
147,152259823,,Inactive,,,,M-061285-00,258549,Olfr798,15045,B22,0.84,NC,-0.67,NC,NC both,1,1.01,0.88,0.87,0.88,-1.12,
148,152259824,,Inactive,,,,M-049884-00,117589,Asb7,15031,C12,-0.67,NC,-1.69,NC,NC both,0.91,0.92,0.79,0.77,0.87,-1.24,
149,152259826,,Inactive,,,,M-063205-00,14264,Fmod,15010,J22,1.85,NC,1.01,NC,NC both,1.06,1.06,1.03,1.04,0.97,-0.11,
150,152259828,,Inactive,,,,M-054019-00,320383,B230317F23Rik,15031,J10,0,NC,0.79,NC,NC both,0.95,0.96,1.01,0.99,1.06,0.9,
151,152259829,,Inactive,,,,M-056866-00,320208,Tmem91,15029,L15,1.01,NC,0.9,NC,NC both,1.01,1.02,1.02,1.02,1.01,0.34,
152,152259833,,Inactive,,,,M-040325-00,109880,Braf,15001,G20,0.51,NC,0,NC,NC both,0.98,1.02,0.94,0.94,0.96,-0.22,
153,152259837,,Inactive,,,,M-057794-00,78923,Chsy3,15025,J18,0.17,NC,1.01,NC,NC both,0.96,0.99,1.03,1.02,1.07,1.01,
154,152259838,,Inactive,,,,M-058455-00,13380,Dkk1,15037,C11,0.84,NC,0.9,NC,NC both,1,1.04,1.02,1.04,1.02,0.45,
155,152259843,,Inactive,,,,M-046341-00,55992,Trim3,15051,P14,3.2,Hi,3.04,Hi,Hi both,1.14,1.12,1.21,1.12,1.06,0.9,
156,152259849,,Inactive,,,,M-062214-00,16534,Kcnn4,15040,F07,-1.35,NC,-1.91,NC,NC both,0.87,0.89,0.77,0.79,0.89,-1.01,
